YF.download() has changed argument auto_adjust default to True
===== Backtest SPY 0DTE Put Credit Spread =====
Period: 2024-05-14 to 2025-05-14
Trades: 250
Wins: 198, Losses: 52, Win Rate: 79.2%
Total P&L: $8973.11
      date    K_short     K_long     credit         pnl
2024-11-25 594.379269 591.172101  95.546778   31.582304
2024-11-26 593.711051 590.616913  92.145163   92.145163
2024-11-27 595.356967 592.254252  92.400613   59.834994
2024-11-29 594.617821 591.648302  88.395156   88.395156
2024-12-02 597.915682 594.967175  87.758608   87.758608
2024-12-03 598.335843 595.394089  87.554991   87.554991
2024-12-04 600.543218 597.557394  88.876548   88.876548
2024-12-05 602.547776 599.531990  89.774422   89.774422
2024-12-06 602.401228 599.557232  84.612087   84.612087
2024-12-09 602.517154 599.357133  94.113497  -73.184134
2024-12-10 600.217856 597.072107  93.687756  -30.484318
2024-12-11 600.679891 597.664594  89.762518   89.762518
2024-12-12 601.441665 598.347150  92.144068   -2.376441
2024-12-13 601.273421 598.204156  91.384734    1.768471
2024-12-16 600.795333 597.533616  97.178385   97.178385
2024-12-17 598.892382 595.380591 104.720821  104.720821
2024-12-18 597.623188 591.537497 183.061327 -425.507808
2024-12-19 585.444507 580.241374 156.105133 -150.143696
2024-12-20 578.389768 574.467871 117.166515  117.166515
2024-12-23 587.598448 583.955923 108.692697  108.692697
2024-12-24 592.967937 589.840512  93.148252   93.148252
2024-12-26 596.347890 593.101527  96.723824   96.723824
2024-12-27 594.286863 590.784563 104.444005   -1.695938
2024-12-30 584.559778 580.802631 112.164658  112.164658
2024-12-31 586.572763 582.813476 112.224362 -112.825372
2025-01-02 586.003895 582.123121 115.900940 -195.828847
2025-01-03 584.315272 580.832992 103.860855  103.860855
2025-01-06 593.015652 589.501181 104.813942  104.813942
2025-01-07 593.997698 590.088040 116.754060 -274.211722
2025-01-08 585.338348 581.511545 114.269612  114.269612
2025-01-10 582.371309 578.169536 125.637766 -236.596878
2025-01-13 572.352314 568.296532 121.240980  121.240980
2025-01-14 580.933713 576.919734 119.948618   70.968142
2025-01-15 587.100886 583.604167 104.290725  104.290725
2025-01-16 590.876422 587.252748 108.115738    7.033590
2025-01-17 593.708262 590.204997 104.474324  104.474324
2025-01-21 597.481420 594.156222  99.096981   99.096981
2025-01-22 602.699823 599.336698 100.230236  100.230236
2025-01-23 602.587910 599.243175  99.676252   99.676252
