date,K_short,K_long,n_contracts,credit,payoff,pnl,capital,win
2024-05-16,522.2213909214379,519.8233494899231,1,71.32585021096105,17.56755894066373,53.75829127029732,100053.7582912703,True
2024-05-17,521.2014989151539,518.8908187657742,1,68.70544435548425,0.0,68.70544435548425,100122.46373562577,True
2024-05-20,521.9376823575471,519.5929296065698,1,69.72685557666125,0.0,69.72685557666125,100192.19059120244,True
2024-05-21,521.6752261370517,519.3874667530949,1,68.01734101871801,0.0,68.01734101871801,100260.20793222115,True
2024-05-22,522.9907209486537,520.6142268248551,1,70.67812381766032,0.0,70.67812381766032,100330.88605603881,True
2024-05-23,525.2284019568352,522.7487461640785,1,73.77254399617357,247.96557927567164,-174.19303527949808,100156.69302075931,False
2024-05-24,520.2601195912496,517.9651294809439,1,68.2358721582105,0.0,68.2358721582105,100224.92889291752,True
2024-05-28,522.565296969634,520.0693043055691,1,74.2668707705846,0.0,74.2668707705846,100299.19576368811,True
2024-05-29,517.9334019291938,515.1998143333618,1,81.4186796231823,0.0,81.4186796231823,100380.6144433113,True
2024-05-30,516.775436180674,514.0117673438111,1,82.3262638706268,73.3321922861478,8.994071584479002,100389.60851489578,True
2024-05-31,515.9823986672703,513.5178487070478,1,73.33131063991374,0.0,73.33131063991374,100462.9398255357,True
2024-06-03,521.3181703111611,518.7916052349854,1,75.18716128284666,15.136122912986139,60.05103836986052,100522.99086390555,True
2024-06-04,518.791468195253,516.2675827720672,1,75.1102117622338,0.0,75.1102117622338,100598.10107566779,True
2024-06-05,523.0815147393927,520.6390052024444,1,72.65983315961648,0.0,72.65983315961648,100670.7609088274,True
2024-06-06,527.2345635859448,524.7823851269125,1,72.94475100971454,0.0,72.94475100971454,100743.70565983711,True
2024-06-07,525.9629026147747,523.586484593561,1,70.67217945212576,0.0,70.67217945212576,100814.37783928924,True
2024-06-10,525.4476351852132,522.972758535142,1,73.62871586242363,0.0,73.62871586242363,100888.00655515166,True
2024-06-11,526.3157741784133,523.8154554240734,1,74.39171738996038,0.0,74.39171738996038,100962.39827254161,True
2024-06-12,533.8328794140496,531.4563522286824,1,70.66596026683527,0.0,70.66596026683527,101033.06423280845,True
2024-06-13,535.3393333003628,532.9758502703332,1,70.27286315034189,0.0,70.27286315034189,101103.33709595879,True
2024-06-14,533.042634663946,530.547713793153,1,74.22062326187557,0.0,74.22062326187557,101177.55771922067,True
2024-06-17,534.2177371069412,531.6995825618386,1,74.9168104306591,0.0,74.9168104306591,101252.47452965133,True
2024-06-18,539.2615477589407,536.8091288974447,1,72.9367061919362,0.0,72.9367061919362,101325.41123584326,True
2024-06-20,541.4266831001199,538.7687196849446,1,79.10740025314311,130.11337837136807,-51.00597811822496,101274.40525772504,False
2024-06-21,538.197600104415,535.5713662742155,1,78.1584005847634,0.0,78.1584005847634,101352.56365830981,True
2024-06-24,538.1175284632266,535.4658885781272,1,78.9221316431167,46.951820932031296,31.970310711085403,101384.5339690209,True
2024-06-25,537.8220868577794,535.2690897785327,1,75.95848491088191,0.0,75.95848491088191,101460.49245393177,True
2024-06-26,537.5495646226077,535.0553591924952,1,74.19326791582392,0.0,74.19326791582392,101534.68572184759,True
2024-06-27,539.2364505617328,536.79608127132,1,72.57510311924733,0.0,72.57510311924733,101607.26082496684,True
2024-06-28,540.989529338867,538.5013135376128,1,74.00904172604186,187.5454631835737,-113.53642145753184,101493.7244035093,False
2024-07-01,539.4951861288125,537.0576262243005,1,72.4904749329383,0.0,72.4904749329383,101566.21487844225,True
2024-07-02,537.602711337623,535.2113849607409,1,71.10548461961343,0.0,71.10548461961343,101637.32036306187,True
2024-07-03,542.5317387539485,540.1064781177747,1,72.11773107738395,0.0,72.11773107738395,101709.43809413924,True
2024-07-05,545.5442562070549,543.027042087204,1,74.87379071660314,0.0,74.87379071660314,101784.31188485585,True
2024-07-08,549.1821350264705,546.6704189592533,1,74.70413858598164,0.0,74.70413858598164,101859.01602344183,True
2024-07-09,549.9810565255383,547.4372841985562,1,75.66544561480555,0.0,75.66544561480555,101934.68146905664,True
2024-07-10,550.7528722858299,548.1364625121869,1,77.84576111318984,0.0,77.84576111318984,102012.52723016983,True
2024-07-11,555.0673716855241,552.4161353791275,1,78.8860588351099,265.12363063966404,-186.23757180455414,101826.28965836528,False
2024-07-12,551.3397886181294,548.7999004830884,1,75.5470984728916,0.0,75.5470984728916,101901.83675683817,True
2024-07-15,555.6334954324147,552.9385722405494,1,80.1978677538429,0.0,80.1978677538429,101982.03462459201,True
2024-07-16,556.458001627243,553.7447149195914,1,80.74854935103559,0.0,80.74854935103559,102062.78317394304,True
2024-07-17,552.3244631761029,549.3686456258455,1,88.05079003432184,60.96804612591313,27.082743908408702,102089.86591785145,True
2024-07-23,548.0936040363475,545.1119444922251,1,88.83644441455516,0.0,88.83644441455516,102178.702362266,True
2024-08-16,545.0032031091482,542.0222863771331,1,88.81959438090234,0.0,88.81959438090234,102267.5219566469,True
2024-08-19,548.2873083106064,545.3187407660848,1,88.44177539135387,0.0,88.44177539135387,102355.96373203826,True
2024-11-29,594.6177600768493,591.6482416982808,1,88.39514658412071,0.0,88.39514658412071,102444.35887862238,True
2024-12-02,597.9156211680936,594.9671140022328,1,87.7585990327816,0.0,87.7585990327816,102532.11747765516,True
2024-12-03,598.3359040477864,595.3941498588346,1,87.55500038877386,0.0,87.55500038877386,102619.67247804394,True
2024-12-04,600.543156843713,597.5573334973703,1,88.87653878049946,0.0,88.87653878049946,102708.54901682444,True
2024-12-06,602.4012281796656,599.5572317593384,1,84.61208674866185,0.0,84.61208674866185,102793.1611035731,True
