date,K_short,K_long,n_contracts,credit,payoff,pnl,capital,win,exit_type
2024-05-30,516.7753750587837,514.0117065487952,1,82.32625413344294,123.48938120016442,-41.16312706672147,99958.83687293327,False,sl
2024-05-31,515.9824591445342,513.5179088954467,1,73.33131923493852,109.99697885240778,-36.66565961746926,99922.1712133158,False,sl
2024-06-03,521.3181703111611,518.7916052349854,1,75.18716128284666,112.78074192426999,-37.59358064142333,99884.57763267438,False,sl
2024-06-04,518.791468195253,516.2675827720672,1,75.1102117622338,18.77755294055845,56.33265882167535,99940.91029149605,True,tp
2024-06-05,523.0814542671288,520.6389450125536,1,72.659824759576,18.164956189894,54.494868569682,99995.40516006574,True,tp
2024-06-06,527.2346245394747,524.7824457969463,1,72.94475944284784,109.41713916427176,-36.47237972142392,99958.93278034432,False,sl
2024-06-07,525.9629026147747,523.586484593561,1,70.67217945212576,17.66804486303144,53.00413458909432,100011.93691493341,True,tp
2024-06-10,525.4476351852132,522.972758535142,1,73.62871586242363,18.407178965605908,55.221536896817724,100067.15845183023,True,tp
2024-06-11,526.3157741784133,523.8154554240734,1,74.39171738996038,18.597929347490094,55.79378804247028,100122.9522398727,True,tp
2024-06-12,533.8328794140496,531.4563522286824,1,70.66596026683527,17.666490066708818,52.99947020012645,100175.95171007283,True,tp
2024-06-13,535.3393333003628,532.9758502703332,1,70.27286315034189,105.40929472551284,-35.136431575170946,100140.81527849766,False,sl
2024-06-14,533.042634663946,530.547713793153,1,74.22062326187557,18.555155815468893,55.66546744640668,100196.48074594406,True,tp
2024-06-17,534.2177371069412,531.6995825618386,1,74.9168104306591,18.729202607664774,56.18760782299432,100252.66835376706,True,tp
2024-06-18,539.2616085309259,536.8091893930551,1,72.93671441152014,18.234178602880036,54.70253580864011,100307.3708895757,True,tp
2024-06-20,541.4266831001199,538.7687196849446,1,79.10740025314311,118.66110037971467,-39.553700126571556,100267.81718944912,False,sl
2024-06-21,538.197600104415,535.5713662742155,1,78.1584005847634,19.53960014619085,58.61880043857255,100326.4359898877,True,tp
2024-06-24,538.1174673747694,535.4658277906908,1,78.92212268368155,19.730530670920388,59.19159201276116,100385.62758190047,True,tp
2024-06-25,537.8220868577794,535.2690897785327,1,75.95848491088191,18.989621227720477,56.96886368316143,100442.59644558362,True,tp
2024-06-26,537.5495646226077,535.0553591924952,1,74.19326791582392,18.54831697895598,55.64495093686794,100498.24139652049,True,tp
2024-06-27,539.2364505617328,536.79608127132,1,72.57510311924733,18.143775779811833,54.4313273394355,100552.67272385993,True,tp
2024-06-28,540.9895905863506,538.5013745033959,1,74.00905010489254,111.0135751573388,-37.00452505244627,100515.66819880749,False,sl
2024-07-01,539.4951861288125,537.0576262243005,1,72.4904749329383,108.73571239940745,-36.24523746646915,100479.42296134101,False,sl
2024-07-02,537.602711337623,535.2113849607409,1,71.10548461961343,17.77637115490336,53.329113464710076,100532.75207480573,True,tp
2024-07-03,542.5316781382747,540.106417773069,1,72.11772301986485,18.029430754966214,54.08829226489864,100586.84036707063,True,tp
2024-07-05,545.5442562070549,543.027042087204,1,74.87379071660314,18.718447679150785,56.155343037452354,100642.99571010808,True,tp
