date,K_short,K_long,n_contracts,credit,payoff,pnl,capital,win
2024-05-20,521.9376214927412,519.592869015193,1,69.72684744559103,0.0,69.72684744559103,100069.72684744559,True
2024-05-21,521.6752261370517,519.3874667530949,1,68.01734101871801,0.0,68.01734101871801,100137.7441884643,True
2024-05-22,522.9907209486537,520.6142268248551,1,70.67812381766032,0.0,70.67812381766032,100208.42231228197,True
2024-05-23,525.2284019568352,522.7487461640785,1,73.77254399617357,247.96557927567164,-174.19303527949808,100034.22927700247,False
2024-05-24,520.2601803314801,517.9651899532349,1,68.2358801247318,0.0,68.2358801247318,100102.4651571272,True
2024-05-28,522.565296969634,520.0693043055691,1,74.2668707705846,0.0,74.2668707705846,100176.73202789779,True
2024-05-29,517.9334019291938,515.1998143333618,1,81.4186796231823,0.0,81.4186796231823,100258.15070752097,True
2024-05-30,516.7753750587837,514.0117065487952,1,82.32625413344294,73.33218361274021,8.994070520702735,100267.14477804166,True
2024-05-31,515.9823986672703,513.5178487070478,1,73.33131063991374,0.0,73.33131063991374,100340.47608868158,True
2024-06-03,521.3181703111611,518.7916052349854,1,75.18716128284666,15.136122912986139,60.05103836986052,100400.52712705143,True
2024-06-04,518.791468195253,516.2675827720672,1,75.1102117622338,0.0,75.1102117622338,100475.63733881367,True
2024-06-05,523.0815147393927,520.6390052024444,1,72.65983315961648,0.0,72.65983315961648,100548.29717197329,True
2024-06-06,527.2345635859448,524.7823851269125,1,72.94475100971454,0.0,72.94475100971454,100621.241922983,True
2024-06-07,525.9629634953038,523.5865451990182,1,70.67218763247212,0.0,70.67218763247212,100691.91411061547,True
2024-06-10,525.4476351852132,522.972758535142,1,73.62871586242363,0.0,73.62871586242363,100765.54282647789,True
2024-06-11,526.3157741784133,523.8154554240734,1,74.39171738996038,0.0,74.39171738996038,100839.93454386784,True
2024-06-12,533.8329403665954,531.4564129098786,1,70.66596833541183,0.0,70.66596833541183,100910.60051220325,True
2024-06-13,535.3392722986414,532.9757895379299,1,70.27285514277395,0.0,70.27285514277395,100980.87336734602,True
2024-06-14,533.0425739608698,530.5476533741993,1,74.22061480960735,0.0,74.22061480960735,101055.09398215562,True
2024-06-17,534.2177371069412,531.6995825618386,1,74.9168104306591,0.0,74.9168104306591,101130.01079258628,True
2024-06-18,539.2615477589407,536.8091288974447,1,72.9367061919362,0.0,72.9367061919362,101202.94749877822,True
2024-06-20,541.4266831001199,538.7687196849446,1,79.10740025314311,130.11337837136807,-51.00597811822496,101151.94152066,False
2024-06-21,538.197600104415,535.5713662742155,1,78.1584005847634,0.0,78.1584005847634,101230.09992124476,True
2024-06-24,538.1175284632266,535.4658885781272,1,78.9221316431167,46.951820932031296,31.970310711085403,101262.07023195585,True
2024-06-25,537.8220868577794,535.2690897785327,1,75.95848491088191,0.0,75.95848491088191,101338.02871686673,True
2024-06-26,537.5495646226077,535.0553591924952,1,74.19326791582392,0.0,74.19326791582392,101412.22198478255,True
2024-06-27,539.2364505617328,536.79608127132,1,72.57510311924733,0.0,72.57510311924733,101484.7970879018,True
2024-06-28,540.989529338867,538.5013135376128,1,74.00904172604186,187.5454631835737,-113.53642145753184,101371.26066644426,False
2024-07-01,539.4951861288125,537.0576262243005,1,72.4904749329383,0.0,72.4904749329383,101443.7511413772,True
2024-07-02,537.602711337623,535.2113849607409,1,71.10548461961343,0.0,71.10548461961343,101514.85662599682,True
2024-07-03,542.5317387539485,540.1064781177747,1,72.11773107738395,0.0,72.11773107738395,101586.9743570742,True
2024-07-05,545.5442562070549,543.027042087204,1,74.87379071660314,0.0,74.87379071660314,101661.8481477908,True
2024-07-08,549.1821350264705,546.6704189592533,1,74.70413858598164,0.0,74.70413858598164,101736.55228637678,True
2024-07-09,549.9810565255383,547.4372841985562,1,75.66544561480555,0.0,75.66544561480555,101812.2177319916,True
2024-07-10,550.7528722858299,548.1364625121869,1,77.84576111318984,0.0,77.84576111318984,101890.06349310478,True
2024-07-11,555.0673716855241,552.4161353791275,1,78.8860588351099,265.12363063966404,-186.23757180455414,101703.82592130023,False
2024-07-12,551.3397886181294,548.7999004830884,1,75.5470984728916,0.0,75.5470984728916,101779.37301977312,True
2024-07-15,555.6334954324147,552.9385722405494,1,80.1978677538429,0.0,80.1978677538429,101859.57088752696,True
2024-07-16,556.458001627243,553.7447149195914,1,80.74854935103559,0.0,80.74854935103559,101940.319436878,True
2024-07-17,552.3244631761029,549.3686456258455,1,88.05079003432184,60.96804612591313,27.082743908408702,101967.4021807864,True
2024-07-18,551.9149471842939,548.6664225509192,1,96.87457292346409,324.85246333747,-227.9778904140059,101739.4242903724,False
2024-07-19,545.8474994181344,542.5160580470799,1,99.39079430994866,200.81439493843618,-101.42360062848752,101638.0006897439,False
2024-07-22,546.5555486986117,543.5439841772267,1,89.74011495076581,0.0,89.74011495076581,101727.74080469467,True
2024-07-23,548.0936040363475,545.1119444922251,1,88.83644441455516,0.0,88.83644441455516,101816.57724910922,True
2024-07-24,542.2039753898397,538.5913089605637,1,107.90263106053573,361.26664292760324,-253.36401186706752,101563.21323724215,False
2024-07-25,534.750791735496,531.1051166275963,1,108.92248122897712,139.22101925272727,-30.298538023750154,101532.9146992184,False
2024-07-26,535.8388250553342,532.5941264627961,1,96.79354795293449,0.0,96.79354795293449,101629.70824717134,True
2024-07-29,539.5170627892234,536.2083608512893,1,98.71824801999907,0.0,98.71824801999907,101728.42649519134,True
2024-07-30,539.6643566002385,536.1381453623035,1,105.29303679392825,274.9378572894784,-169.64482049555016,101558.78167469578,False
2024-07-31,542.4616957573769,539.1828872788127,1,97.80891028667043,0.0,97.80891028667043,101656.59058498245,True
2024-08-01,545.8232517975089,542.0759745328661,1,111.96886965603738,374.72772646427757,-262.7588568082402,101393.8317281742,False
2024-08-02,528.8245681473967,524.2606223158539,1,136.85717557468564,92.41775223966897,44.43942333501667,101438.27115150922,True
2024-08-05,503.89822048930324,496.747135975897,1,216.8539189287074,0.0,216.8539189287074,101655.12507043793,True
2024-08-06,512.1773992529751,506.9449082811988,1,157.4070114022618,0.0,157.4070114022618,101812.5320818402,True
2024-08-07,521.2911243247208,515.9387576852107,1,161.02985355476136,535.2366639510137,-374.20681039625237,101438.32527144394,False
2024-08-08,517.1065258314804,512.5677264872564,1,136.14344694684206,0.0,136.14344694684206,101574.46871839078,True
2024-08-09,523.199734153929,519.2651403868254,1,117.7212557246591,0.0,117.7212557246591,101692.18997411543,True
2024-08-12,527.5176399317207,523.484613394473,1,120.69674758153468,0.0,120.69674758153468,101812.88672169697,True
2024-08-13,530.0171122002686,526.4700379034364,1,105.94982583763368,0.0,105.94982583763368,101918.8365475346,True
2024-08-14,536.4184863377186,533.2097951451073,1,95.70518069308918,0.0,95.70518069308918,102014.54172822769,True
2024-08-15,543.0697086548953,540.0133102190072,1,91.097761835033,0.0,91.097761835033,102105.63949006272,True
2024-08-16,545.0032031091482,542.0222863771331,1,88.81959438090234,0.0,88.81959438090234,102194.45908444362,True
2024-08-19,548.2873083106064,545.3187407660848,1,88.44177539135387,0.0,88.44177539135387,102282.90085983498,True
2024-08-20,552.5516052249505,549.3095113182235,1,96.6792100080383,0.0,96.6792100080383,102379.58006984301,True
2024-08-21,553.1313000210783,549.8063379816699,1,99.17906891381705,0.0,99.17906891381705,102478.75913875682,True
2024-08-22,555.7793970783003,552.1765357809358,1,107.57063358173298,360.28612973645977,-252.7154961547268,102226.0436426021,False
2024-08-23,552.928896406595,549.688662872881,1,96.62229788297054,0.0,96.62229788297054,102322.66594048508,True
2024-08-26,556.5110679667562,553.190389232531,1,99.04247410738947,98.23814433186726,0.8043297755222056,102323.4702702606,True
2024-08-27,552.9257595764092,549.7731428300751,1,93.97957256986587,0.0,93.97957256986587,102417.44984283047,True
2024-08-28,554.4829335947699,550.9783084292297,1,104.60341581863162,142.0921876019861,-37.48877178335448,102379.96107104712,False
2024-08-29,553.7174296241302,550.5154153807156,1,95.46771858165783,60.59183936614545,34.875879215512384,102414.83695026263,True
2024-08-30,554.2273572176022,551.1551379529916,1,91.55365963978568,0.0,91.55365963978568,102506.39060990242,True
2024-09-03,553.4478621482455,549.2145561654527,1,126.69146801523965,423.33059827927855,-296.6391302640389,102209.75147963838,False
2024-09-04,543.2572296251637,538.9820171978829,1,128.00254602425554,0.0,128.00254602425554,102337.75402566264,True
2024-09-05,544.0554907922249,540.0581113205649,1,119.55809014177134,0.0,119.55809014177134,102457.31211580441,True
2024-09-06,542.9135874259962,538.4295360087362,1,134.3608367083604,448.4051417259934,-314.044305017633,102143.26781078677,False
2024-09-09,537.929603340531,534.066286322489,1,115.5098337825919,0.0,115.5098337825919,102258.77764456936,True
2024-09-10,541.6242884671617,537.8081729025705,1,114.06723236035106,0.0,114.06723236035106,102372.84487692971,True
2024-09-11,542.0749055236558,538.5329435610355,1,105.76335508228425,0.0,105.76335508228425,102478.60823201199,True
2024-09-12,548.3606179720359,544.9027663579197,1,103.20428827258041,0.0,103.20428827258041,102581.81252028457,True
2024-09-13,553.0475023245933,549.6639699767156,1,100.94788463604232,0.0,100.94788463604232,102682.76040492061,True
2024-09-16,555.0039974363269,551.4899479882416,1,104.88704128757718,0.0,104.88704128757718,102787.6474462082,True
2024-09-17,558.2836449731689,554.6522168630092,1,108.4283832311641,49.63524927001117,58.79313396115293,102846.44058016935,True
2024-09-18,556.8874322143333,553.1379835373989,1,112.00382020050625,75.44366088645802,36.560159314048235,102883.0007394834,True
2024-09-19,564.2327710238487,560.8286063721946,1,101.54610038028551,0.0,101.54610038028551,102984.54683986369,True
2024-09-20,562.8369961039275,559.478570815773,1,100.16830180389604,0.0,100.16830180389604,103084.71514166758,True
2024-09-23,564.3462385319949,561.0328605555657,1,98.8056344198327,0.0,98.8056344198327,103183.5207760874,True
2024-09-24,565.5195884207409,562.303500461388,1,95.86880105827333,0.0,95.86880105827333,103279.38957714567,True
2024-09-25,566.1721483852998,562.9481771080173,1,96.1052242665886,0.0,96.1052242665886,103375.49480141226,True
2024-09-26,569.3874454089214,566.1535572570061,1,96.39797663661653,71.78287097026441,24.61510566635212,103400.10990707861,True
2024-09-27,568.2676230896031,564.7072610506505,1,106.25517101653514,42.27744567906484,63.977725337470304,103464.08763241608,True
2024-09-30,565.3440069452319,561.8498481737383,1,104.26159446354006,0.0,104.26159446354006,103568.34922687963,True
2024-10-01,568.0784251060243,564.0382970188912,1,120.77930440778317,306.54246177430196,-185.76315736651878,103382.58606951311,False
2024-10-02,562.471948268498,558.5462027002548,1,117.32850237812471,0.0,117.32850237812471,103499.91457189123,True
2024-10-03,561.9894961966513,557.7383910586349,1,127.20245156256453,0.0,127.20245156256453,103627.1170234538,True
2024-10-04,567.0424382939766,563.0201103435293,1,120.24270973020776,0.0,120.24270973020776,103747.35973318401,True
2024-10-07,565.7084676108885,560.9820944853877,1,141.64909036315265,151.03474937010333,-9.385659006950675,103737.97407417707,False
2024-10-08,564.941044351135,560.474418756083,1,133.74349101099057,0.0,133.74349101099057,103871.71756518805,True
2024-10-09,567.7028218699456,563.3312529684573,1,130.8428878028451,0.0,130.8428878028451,104002.5604529909,True
2024-10-10,570.2819793451282,565.8758705610949,1,131.88352591239862,0.0,131.88352591239862,104134.4439789033,True
2024-10-11,570.599849128698,566.2899077070279,1,128.9600938713818,0.0,128.9600938713818,104263.40407277469,True
2024-10-14,575.7872427785909,571.5990808213081,1,125.24564304155348,0.0,125.24564304155348,104388.64971581624,True
2024-10-15,579.0432915486543,574.6312422803458,1,132.03294122937166,294.1118697091838,-162.07892847981213,104226.57078733643,False
