timestamp,symbol,side,qty,avg_entry_price,cost_basis,unrealized_pl,unrealized_plpc
2025-06-16T13:58:46.522338,QQQ250616P00534000,long,171,0.538421,9207,,
2025-06-16T13:58:46.522352,QQQ250616P00535000,short,-171,0.968421,-16560,,
2025-06-16T13:58:46.522355,SPY250616P00602000,long,44,0.473182,2082,,
2025-06-16T13:58:46.522357,SPY250616P00603000,long,38,0.60378,2294.3659,,
2025-06-16T13:58:46.522359,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:00:00.373398,QQQ250616P00533000,long,8,0.46,368,,
2025-06-16T14:00:00.373473,QQQ250616P00534000,long,163,0.538421,8776.2631,,
2025-06-16T14:00:00.373477,QQQ250616P00535000,short,-171,0.968421,-16560,,
2025-06-16T14:00:00.373479,SPY250616P00602000,long,52,0.501923,2610,,
2025-06-16T14:00:00.373481,SPY250616P00603000,long,30,0.60378,1811.3415,,
2025-06-16T14:00:00.373483,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:01:17.303534,QQQ250616P00533000,long,17,0.438824,746,,
2025-06-16T14:01:17.303581,QQQ250616P00534000,long,154,0.538421,8291.6842,,
2025-06-16T14:01:17.303584,QQQ250616P00535000,short,-171,0.968421,-16560,,
2025-06-16T14:01:17.303587,SPY250616P00602000,long,60,0.519,3114,,
2025-06-16T14:01:17.303588,SPY250616P00603000,long,22,0.60378,1328.3171,,
2025-06-16T14:01:17.303590,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:02:31.041463,QQQ250616P00533000,long,26,0.418462,1088,,
2025-06-16T14:02:31.041480,QQQ250616P00534000,long,145,0.538421,7807.1053,,
2025-06-16T14:02:31.041484,QQQ250616P00535000,short,-171,0.968421,-16560,,
2025-06-16T14:02:31.041486,SPY250616P00602000,long,69,0.521739,3600,,
2025-06-16T14:02:31.041488,SPY250616P00603000,long,13,0.60378,784.9146,,
2025-06-16T14:02:31.041489,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:03:42.596818,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:03:42.596839,QQQ250616P00534000,long,136,0.538421,7322.5263,,
2025-06-16T14:03:42.596843,QQQ250616P00535000,short,-171,0.968421,-16560,,
2025-06-16T14:03:42.596845,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:03:42.596847,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:03:42.596849,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:04:57.089575,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:04:57.089594,QQQ250616P00534000,long,136,0.538421,7322.5263,,
2025-06-16T14:04:57.089597,QQQ250616P00535000,short,-171,0.968421,-16560,,
2025-06-16T14:04:57.089600,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:04:57.089602,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:04:57.089604,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:06:11.150638,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:06:11.150661,QQQ250616P00534000,long,145,0.540381,7835.5263,,
2025-06-16T14:06:11.150664,QQQ250616P00535000,short,-180,0.9725,-17505,,
2025-06-16T14:06:11.150666,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:06:11.150668,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:06:11.150670,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:07:25.435411,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:07:25.435423,QQQ250616P00534000,long,154,0.540359,8321.5263,,
2025-06-16T14:07:25.435425,QQQ250616P00535000,short,-189,0.97381,-18405,,
2025-06-16T14:07:25.435427,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:07:25.435429,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:07:25.435431,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:08:39.611968,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:08:39.611983,QQQ250616P00534000,long,163,0.545861,8897.5263,,
